num_vehicles,num_buoys,num_nodes,fixed_customers,load_customers,load_demands,a_ratio,b_ratio,gamma_ratio,obj_lambda,train_time_secs,train_time_human,evaluate_time_secs,evaluate_time_human,mean_reward,best_cost,best_routes,best_travel_cost,best_expected_reward,best_fig_path
1,10,20,True,True,True,0.1,0.1,0.8,0.1,311.078334,0:05:11.078334,11.759925,0:00:11.759925,-56.47305304646492,-26.083961725234985,"[[0, 19, 4, 15, 16, 11, 8, 2, 1, 17, 0]]",10.548888206481934,-36.632850646972656,results/figs\best_1755113477.png
1,10,20,True,True,True,0.1,0.1,0.8,0.5,308.88488,0:05:08.884880,11.273233,0:00:11.273233,-56.47305304646492,-26.083961725234985,"[[0, 19, 4, 15, 16, 11, 8, 2, 1, 17, 0]]",10.548888206481934,-36.632850646972656,results/figs\best_1755113797.png
1,10,20,True,True,True,0.1,0.1,0.8,0.7,299.899239,0:04:59.899239,11.593124,0:00:11.593124,-56.47305304646492,-26.083961725234985,"[[0, 19, 4, 15, 16, 11, 8, 2, 1, 17, 0]]",10.548888206481934,-36.632850646972656,results/figs\best_1755114109.png
1,10,20,True,True,True,0.1,0.7,0.2,0.1,298.029589,0:04:58.029589,11.343781,0:00:11.343781,-12.89509136915207,-20.28648042678833,"[[0, 10, 6, 5, 2, 18, 11, 19, 4, 14, 0]]",13.698019027709961,-33.984500885009766,results/figs\best_1755114418.png
1,10,20,True,True,True,0.1,0.7,0.2,0.5,299.451495,0:04:59.451495,11.364546,0:00:11.364546,-12.89509136915207,-20.28648042678833,"[[0, 10, 6, 5, 2, 18, 11, 19, 4, 14, 0]]",13.698019027709961,-33.984500885009766,results/figs\best_1755114729.png
1,10,20,True,True,True,0.1,0.7,0.2,0.7,301.307777,0:05:01.307777,11.43383,0:00:11.433830,-12.89509136915207,-20.28648042678833,"[[0, 10, 6, 5, 2, 18, 11, 19, 4, 14, 0]]",13.698019027709961,-33.984500885009766,results/figs\best_1755115042.png
1,10,20,True,True,True,0.6,0.3,0.1,0.1,303.2298,0:05:03.229800,11.845414,0:00:11.845414,-58.901247482895855,21.555428504943848,"[[0, 2, 6, 4, 14, 5, 13, 10, 8, 7, 0]]",47.992279052734375,-26.43684959411621,results/figs\best_1755115357.png
1,10,20,True,True,True,0.6,0.3,0.1,0.5,299.428654,0:04:59.428654,11.372492,0:00:11.372492,-58.901247482895855,21.555428504943848,"[[0, 2, 6, 4, 14, 5, 13, 10, 8, 7, 0]]",47.992279052734375,-26.43684959411621,results/figs\best_1755115668.png
1,10,20,True,True,True,0.6,0.3,0.1,0.7,298.557807,0:04:58.557807,11.381486,0:00:11.381486,-58.901247482895855,21.555428504943848,"[[0, 2, 6, 4, 14, 5, 13, 10, 8, 7, 0]]",47.992279052734375,-26.43684959411621,results/figs\best_1755115978.png
1,10,20,True,True,False,0.1,0.1,0.8,0.1,311.033995,0:05:11.033995,11.786868,0:00:11.786868,-72.6149689936638,-16.20446741580963,"[[0, 16, 18, 17, 14, 10, 1, 13, 19, 12, 0]]",14.50039291381836,-30.704858779907227,results/figs\best_1755116301.png
1,10,20,True,True,False,0.1,0.1,0.8,0.5,312.162999,0:05:12.162999,11.865985,0:00:11.865985,-72.6149689936638,-16.20446741580963,"[[0, 16, 18, 17, 14, 10, 1, 13, 19, 12, 0]]",14.50039291381836,-30.704858779907227,results/figs\best_1755116625.png
1,10,20,True,True,False,0.1,0.1,0.8,0.7,310.637518,0:05:10.637518,11.747469,0:00:11.747469,-72.6149689936638,-16.20446741580963,"[[0, 16, 18, 17, 14, 10, 1, 13, 19, 12, 0]]",14.50039291381836,-30.704858779907227,results/figs\best_1755116948.png
1,10,20,True,True,False,0.1,0.7,0.2,0.1,310.889879,0:05:10.889879,11.638374,0:00:11.638374,-31.512798672914506,-6.040737271308899,"[[0, 10, 7, 14, 1, 6, 12, 17, 8, 4, 0]]",5.696207523345947,-11.736944198608398,results/figs\best_1755117270.png
1,10,20,True,True,False,0.1,0.7,0.2,0.5,309.831036,0:05:09.831036,11.644311,0:00:11.644311,-31.512798672914506,-6.040737271308899,"[[0, 10, 7, 14, 1, 6, 12, 17, 8, 4, 0]]",5.696207523345947,-11.736944198608398,results/figs\best_1755117592.png
1,10,20,True,True,False,0.1,0.7,0.2,0.7,310.681613,0:05:10.681613,11.715838,0:00:11.715838,-31.512798672914506,-6.040737271308899,"[[0, 10, 7, 14, 1, 6, 12, 17, 8, 4, 0]]",5.696207523345947,-11.736944198608398,results/figs\best_1755117915.png
1,10,20,True,True,False,0.6,0.3,0.1,0.1,310.719539,0:05:10.719539,11.687057,0:00:11.687057,-47.96976722419262,13.029916286468506,"[[0, 6, 14, 7, 8, 4, 2, 10, 5, 13, 0]]",46.77173614501953,-33.741825103759766,results/figs\best_1755118237.png
1,10,20,True,True,False,0.6,0.3,0.1,0.5,310.585621,0:05:10.585621,11.605977,0:00:11.605977,-47.96976722419262,13.029916286468506,"[[0, 6, 14, 7, 8, 4, 2, 10, 5, 13, 0]]",46.77173614501953,-33.741825103759766,results/figs\best_1755118559.png
1,10,20,True,True,False,0.6,0.3,0.1,0.7,311.638478,0:05:11.638478,11.776233,0:00:11.776233,-47.96976722419262,13.029916286468506,"[[0, 6, 14, 7, 8, 4, 2, 10, 5, 13, 0]]",46.77173614501953,-33.741825103759766,results/figs\best_1755118883.png
1,10,20,True,False,True,0.1,0.1,0.8,0.1,300.887719,0:05:00.887719,11.524388,0:00:11.524388,-56.47305304646492,-26.083961725234985,"[[0, 19, 4, 15, 16, 11, 8, 2, 1, 17, 0]]",10.548888206481934,-36.632850646972656,results/figs\best_1755119195.png
1,10,20,True,False,True,0.1,0.1,0.8,0.5,297.177338,0:04:57.177338,11.325167,0:00:11.325167,-56.47305304646492,-26.083961725234985,"[[0, 19, 4, 15, 16, 11, 8, 2, 1, 17, 0]]",10.548888206481934,-36.632850646972656,results/figs\best_1755119504.png
1,10,20,True,False,True,0.1,0.1,0.8,0.7,296.975164,0:04:56.975164,11.343706,0:00:11.343706,-56.47305304646492,-26.083961725234985,"[[0, 19, 4, 15, 16, 11, 8, 2, 1, 17, 0]]",10.548888206481934,-36.632850646972656,results/figs\best_1755119812.png
1,10,20,True,False,True,0.1,0.7,0.2,0.1,298.235977,0:04:58.235977,11.814314,0:00:11.814314,-12.89509136915207,-20.28648042678833,"[[0, 10, 6, 5, 2, 18, 11, 19, 4, 14, 0]]",13.698019027709961,-33.984500885009766,results/figs\best_1755120123.png
1,10,20,True,False,True,0.1,0.7,0.2,0.5,302.278946,0:05:02.278946,11.505826,0:00:11.505826,-12.89509136915207,-20.28648042678833,"[[0, 10, 6, 5, 2, 18, 11, 19, 4, 14, 0]]",13.698019027709961,-33.984500885009766,results/figs\best_1755120437.png
1,10,20,True,False,True,0.1,0.7,0.2,0.7,316.694361,0:05:16.694361,11.686537,0:00:11.686537,-12.89509136915207,-20.28648042678833,"[[0, 10, 6, 5, 2, 18, 11, 19, 4, 14, 0]]",13.698019027709961,-33.984500885009766,results/figs\best_1755120765.png
1,10,20,True,False,True,0.6,0.3,0.1,0.1,307.423149,0:05:07.423149,11.354139,0:00:11.354139,-58.901247482895855,21.555428504943848,"[[0, 2, 6, 4, 14, 5, 13, 10, 8, 7, 0]]",47.992279052734375,-26.43684959411621,results/figs\best_1755121084.png
1,10,20,True,False,True,0.6,0.3,0.1,0.5,295.459011,0:04:55.459011,11.371179,0:00:11.371179,-58.901247482895855,21.555428504943848,"[[0, 2, 6, 4, 14, 5, 13, 10, 8, 7, 0]]",47.992279052734375,-26.43684959411621,results/figs\best_1755121391.png
1,10,20,True,False,True,0.6,0.3,0.1,0.7,293.65332,0:04:53.653320,11.610206,0:00:11.610206,-58.901247482895855,21.555428504943848,"[[0, 2, 6, 4, 14, 5, 13, 10, 8, 7, 0]]",47.992279052734375,-26.43684959411621,results/figs\best_1755121696.png
1,10,20,True,False,False,0.1,0.1,0.8,0.1,306.606135,0:05:06.606135,11.737779,0:00:11.737779,-72.6149689936638,-16.20446741580963,"[[0, 16, 18, 17, 14, 10, 1, 13, 19, 12, 0]]",14.50039291381836,-30.704858779907227,results/figs\best_1755122015.png
1,10,20,True,False,False,0.1,0.1,0.8,0.5,305.114419,0:05:05.114419,11.684777,0:00:11.684777,-72.6149689936638,-16.20446741580963,"[[0, 16, 18, 17, 14, 10, 1, 13, 19, 12, 0]]",14.50039291381836,-30.704858779907227,results/figs\best_1755122332.png
1,10,20,True,False,False,0.1,0.1,0.8,0.7,306.123752,0:05:06.123752,11.595814,0:00:11.595814,-72.6149689936638,-16.20446741580963,"[[0, 16, 18, 17, 14, 10, 1, 13, 19, 12, 0]]",14.50039291381836,-30.704858779907227,results/figs\best_1755122649.png
1,10,20,True,False,False,0.1,0.7,0.2,0.1,307.968987,0:05:07.968987,11.597917,0:00:11.597917,-31.512798672914506,-6.040737271308899,"[[0, 10, 7, 14, 1, 6, 12, 17, 8, 4, 0]]",5.696207523345947,-11.736944198608398,results/figs\best_1755122969.png
1,10,20,True,False,False,0.1,0.7,0.2,0.5,307.315827,0:05:07.315827,11.592632,0:00:11.592632,-31.512798672914506,-6.040737271308899,"[[0, 10, 7, 14, 1, 6, 12, 17, 8, 4, 0]]",5.696207523345947,-11.736944198608398,results/figs\best_1755123288.png
1,10,20,True,False,False,0.1,0.7,0.2,0.7,311.312761,0:05:11.312761,12.45002,0:00:12.450020,-31.512798672914506,-6.040737271308899,"[[0, 10, 7, 14, 1, 6, 12, 17, 8, 4, 0]]",5.696207523345947,-11.736944198608398,results/figs\best_1755123612.png
1,10,20,True,False,False,0.6,0.3,0.1,0.1,318.359126,0:05:18.359126,11.774586,0:00:11.774586,-47.96976722419262,13.029916286468506,"[[0, 6, 14, 7, 8, 4, 2, 10, 5, 13, 0]]",46.77173614501953,-33.741825103759766,results/figs\best_1755123942.png
1,10,20,True,False,False,0.6,0.3,0.1,0.5,490.243401,0:08:10.243401,15.346507,0:00:15.346507,-47.96976722419262,13.029916286468506,"[[0, 6, 14, 7, 8, 4, 2, 10, 5, 13, 0]]",46.77173614501953,-33.741825103759766,results/figs\best_1755124448.png
1,10,20,True,False,False,0.6,0.3,0.1,0.7,429.984055,0:07:09.984055,14.071493,0:00:14.071493,-47.96976722419262,13.029916286468506,"[[0, 6, 14, 7, 8, 4, 2, 10, 5, 13, 0]]",46.77173614501953,-33.741825103759766,results/figs\best_1755124892.png
1,10,50,True,True,True,0.1,0.1,0.8,0.1,2937.112037,0:48:57.112037,67.685317,0:01:07.685317,-33.76211474597454,-27.31160044670105,"[[0, 4, 18, 35, 1, 39, 12, 36, 21, 17, 0]]",11.453699111938477,-38.76530075073242,results/figs\best_1755127897.png
1,10,50,True,True,True,0.1,0.1,0.8,0.5,3428.676693,0:57:08.676693,88.927876,0:01:28.927876,-33.76211474597454,-27.31160044670105,"[[0, 4, 18, 35, 1, 39, 12, 36, 21, 17, 0]]",11.453699111938477,-38.76530075073242,results/figs\best_1755131415.png
1,10,50,True,True,True,0.1,0.1,0.8,0.7,3806.089527,1:03:26.089527,91.084233,0:01:31.084233,-33.76211474597454,-27.31160044670105,"[[0, 4, 18, 35, 1, 39, 12, 36, 21, 17, 0]]",11.453699111938477,-38.76530075073242,results/figs\best_1755135313.png
1,10,50,True,True,True,0.1,0.7,0.2,0.1,3973.549192,1:06:13.549192,89.457417,0:01:29.457417,-12.213857463002205,-24.059222102165222,"[[0, 31, 42, 18, 40, 22, 11, 32, 3, 29, 0]]",10.847827911376953,-34.907047271728516,results/figs\best_1755139376.png
1,10,50,True,True,True,0.1,0.7,0.2,0.5,3965.294266,1:06:05.294266,92.41836,0:01:32.418360,-12.213857463002205,-24.059222102165222,"[[0, 31, 42, 18, 40, 22, 11, 32, 3, 29, 0]]",10.847827911376953,-34.907047271728516,results/figs\best_1755143434.png
1,10,50,True,True,True,0.1,0.7,0.2,0.7,4874.993963,1:21:14.993963,80.377104,0:01:20.377104,-12.213857463002205,-24.059222102165222,"[[0, 31, 42, 18, 40, 22, 11, 32, 3, 29, 0]]",10.847827911376953,-34.907047271728516,results/figs\best_1755148390.png
1,10,50,True,True,True,0.6,0.3,0.1,0.1,2499.895426,0:41:39.895426,60.224826,0:01:00.224826,-61.02609163761139,23.711356043815613,"[[0, 17, 31, 35, 32, 29, 11, 25, 39, 18, 0]]",55.88105392456055,-32.169700622558594,results/figs\best_1755150950.png
1,10,50,True,True,True,0.6,0.3,0.1,0.5,2597.320281,0:43:17.320281,76.932017,0:01:16.932017,-61.02609163761139,23.711356043815613,"[[0, 17, 31, 35, 32, 29, 11, 25, 39, 18, 0]]",55.88105392456055,-32.169700622558594,results/figs\best_1755153625.png
